lemma,freq,translations
moi,7,
demander,1,
pardon,1,
à,4,
le,7,
enfant,4,
de,4,
avoir,9,
dédier,2,
ce,7,
livre,3,
un,5,
grand,6,
personne,6,
excuse,4,
sérieux,1,
être,4,
meilleur,1,
ami,1,
que,2,
monde,1,
autre,1,
pouvoir,1,
tout,3,
comprendre,1,
même,1,
pour,1,
troisième,1,
habiter,1,
France,1,
où,1,
lui,2,
faim,1,
et,1,
froid,1,
besoin,1,
consoler,1,
si,1,
ne,1,
suffiser,1,
pas,1,
vouloir,1,
bien,1,
autrefois,1,
abord,1,
mais,1,
peu,1,
entre,1,
eux,1,
soi,1,
en,1,
souvenir,1,
corriger,1,
donc,1,
son,1,
dédicace,1,
